,delta,alpha,beta
5822,0.5822,0.5667283937680404,0.9923151613228328
5823,0.5823,0.5668467746703786,0.9923257366871793
5824,0.5824,0.566965136658419,0.9923362985618998
5825,0.5825,0.5670834797512669,0.992346846964697
5826,0.5826,0.5672018039680035,0.992357381913246
5827,0.5827,0.5673201093276841,0.9923679034251938
5828,0.5828,0.567438395849338,0.9923784115181593
5829,0.5829,0.5675566635519705,0.9923889062097341
5830,0.5830000000000001,0.5676749124545609,0.9923993875174815
5831,0.5831000000000001,0.5677931425760635,0.9924098554589373
5832,0.5832,0.5679113539354073,0.9924203100516098
5833,0.5833,0.5680295465514967,0.9924307513129795
5834,0.5834,0.5681477204432108,0.9924411792604995
5835,0.5835,0.5682658756294039,0.9924515939115952
5836,0.5836,0.5683840121289051,0.9924619952836649
5837,0.5837,0.568502129960519,0.9924723833940792
5838,0.5838,0.5686202291430256,0.9924827582601818
5839,0.5839,0.568738309695179,0.9924931198992888
5840,0.5840000000000001,0.5688563716357102,0.9925034683286892
5841,0.5841000000000001,0.5689744149833244,0.9925138035656449
5842,0.5842,0.5690924397567025,0.9925241256273908
5843,0.5843,0.5692104459745011,0.9925344345311345
5844,0.5844,0.569328433655352,0.992544730294057
5845,0.5845,0.5694464028178626,0.992555012933312
5846,0.5846,0.5695643534806161,0.9925652824660267
5847,0.5847,0.5696822856621709,0.9925755389093012
5848,0.5848,0.5698001993810615,0.9925857822802089
5849,0.5849,0.5699180946557982,0.9925960125957968
5850,0.5850000000000001,0.570035971504867,0.9926062298730849
5851,0.5851000000000001,0.570153829946729,0.9926164341290666
5852,0.5852,0.5702716699998224,0.9926266253807092
5853,0.5853,0.5703894916825606,0.9926368036449532
5854,0.5854,0.570507295013333,0.9926469689387125
5855,0.5855,0.5706250800105052,0.992657121278875
5856,0.5856,0.5707428466924188,0.992667260682302
5857,0.5857,0.5708605950773918,0.9926773871658289
5858,0.5858,0.570978325183718,0.9926875007462644
5859,0.5859,0.5710960370296676,0.9926976014403915
5860,0.5860000000000001,0.571213730633487,0.9927076892649669
5861,0.5861000000000001,0.5713314060133988,0.9927177642367211
5862,0.5862,0.571449063187602,0.9927278263723588
5863,0.5863,0.5715667021742724,0.9927378756885588
5864,0.5864,0.5716843229915616,0.9927479122019738
5865,0.5865,0.5718019256575984,0.9927579359292309
5866,0.5866,0.5719195101904874,0.9927679468869313
5867,0.5867,0.5720370766083105,0.9927779450916504
5868,0.5868,0.5721546249291257,0.9927879305599381
5869,0.5869,0.5722721551709682,0.9927979033083185
5870,0.5870000000000001,0.5723896673518493,0.9928078633532902
5871,0.5871000000000001,0.5725071614897573,0.9928178107113261
5872,0.5872,0.5726246376026579,0.9928277453988742
5873,0.5873,0.5727420957084927,0.9928376674323562
5874,0.5874,0.5728595358251809,0.9928475768281693
5875,0.5875,0.5729769579706184,0.9928574736026847
5876,0.5876,0.5730943621626785,0.9928673577722489
5877,0.5877,0.5732117484192106,0.9928772293531826
5878,0.5878,0.5733291167580422,0.9928870883617817
5879,0.5879,0.5734464671969776,0.9928969348143172
5880,0.5880000000000001,0.5735637997537978,0.9929067687270344
5881,0.5881000000000001,0.5736811144462617,0.9929165901161542
5882,0.5882000000000001,0.5737984112921053,0.9929263989978722
5883,0.5883,0.5739156903090417,0.9929361953883591
5884,0.5884,0.5740329515147612,0.9929459793037608
5885,0.5885,0.5741501949269322,0.9929557507601986
5886,0.5886,0.5742674205632,0.9929655097737686
5887,0.5887,0.5743846284411878,0.9929752563605427
5888,0.5888,0.5745018185784952,0.9929849905365675
5889,0.5889,0.574618990992701,0.9929947123178656
5890,0.5890000000000001,0.574736145701361,0.9930044217204348
5891,0.5891000000000001,0.5748532827220081,0.9930141187602483
5892,0.5892000000000001,0.574970402072153,0.9930238034532547
5893,0.5893,0.5750875037692853,0.9930334758153787
5894,0.5894,0.5752045878308709,0.9930431358625201
5895,0.5895,0.5753216542743546,0.9930527836105547
5896,0.5896,0.5754387031171584,0.9930624190753339
5897,0.5897,0.575555734376683,0.993072042272685
5898,0.5898,0.5756727480703059,0.9930816532184108
5899,0.5899,0.575789744215384,0.9930912519282904
5900,0.5900000000000001,0.5759067228292511,0.9931008384180785
5901,0.5901000000000001,0.5760236839292198,0.9931104127035061
5902,0.5902000000000001,0.5761406275325802,0.9931199748002797
5903,0.5903,0.5762575536566013,0.9931295247240824
5904,0.5904,0.5763744623185298,0.9931390624905733
5905,0.5905,0.576491353535591,0.9931485881153872
5906,0.5906,0.5766082273249882,0.9931581016141358
5907,0.5907,0.5767250837039032,0.9931676030024065
5908,0.5908,0.5768419226894963,0.9931770922957633
5909,0.5909,0.576958744298906,0.9931865695097466
5910,0.5910000000000001,0.5770755485492494,0.9931960346598728
5911,0.5911000000000001,0.577192335457622,0.9932054877616353
5912,0.5912000000000001,0.577309105041098,0.9932149288305034
5913,0.5913,0.5774258573167301,0.9932243578819235
5914,0.5914,0.5775425923015497,0.9932337749313183
5915,0.5915,0.5776593100125667,0.9932431799940868
5916,0.5916,0.5777760104667701,0.9932525730856056
5917,0.5917,0.5778926936811272,0.993261954221227
5918,0.5918,0.5780093596725844,0.9932713234162807
5919,0.5919,0.578126008458067,0.993280680686073
5920,0.5920000000000001,0.5782426400544787,0.993290026045887
5921,0.5921000000000001,0.5783592544787027,0.993299359510983
5922,0.5922000000000001,0.5784758517476007,0.9933086810965979
5923,0.5923,0.5785924318780137,0.9933179908179457
5924,0.5924,0.5787089948867615,0.9933272886902176
5925,0.5925,0.5788255407906434,0.9933365747285817
5926,0.5926,0.5789420696064373,0.9933458489481833
5927,0.5927,0.5790585813509007,0.993355111364145
5928,0.5928,0.5791750760407699,0.9933643619915663
5929,0.5929,0.5792915536927606,0.9933736008455243
5930,0.5930000000000001,0.5794080143235683,0.9933828279410732
5931,0.5931000000000001,0.5795244579498662,0.9933920432932446
5932,0.5932000000000001,0.5796408845883089,0.9934012469170477
5933,0.5933,0.5797572942555294,0.9934104388274688
5934,0.5934,0.5798736869681398,0.993419619039472
