,delta,beta
128,0.0128,5.652611712037015e-10
129,0.0129,5.964717608719639e-10
130,0.013000000000000001,6.291406284830714e-10
131,0.0131,6.633238402997677e-10
132,0.0132,6.990791279193331e-10
133,0.013300000000000001,7.364658882735853e-10
134,0.0134,7.755446285173662e-10
135,0.0135,8.163791864745917e-10
136,0.013600000000000001,8.590333999691779e-10
137,0.0137,9.035744374941146e-10
138,0.013800000000000002,9.500700226539038e-10
139,0.013900000000000001,9.985912097221217e-10
140,0.014,1.049210718306881e-09
141,0.014100000000000001,1.1020018231278073e-09
142,0.0142,1.1570416846851117e-09
143,0.0143,1.2144091288135428e-09
144,0.014400000000000001,1.2741840915708735e-09
145,0.0145,1.3364503947954631e-09
146,0.0146,1.401292415437183e-09
147,0.014700000000000001,1.468798416226491e-09
148,0.0148,1.5390572150053572e-09
149,0.0149,1.6121620705078499e-09
150,0.015000000000000001,1.6882062414680377e-09
151,0.0151,1.7672879826235999e-09
152,0.0152,1.8495055487122158e-09
153,0.015300000000000001,1.9349621904751757e-09
154,0.0154,2.023761713765282e-09
155,0.0155,2.116011810215923e-09
156,0.015600000000000001,2.211822391906537e-09
157,0.015700000000000002,2.3113061464741236e-09
158,0.0158,2.414577982001731e-09
159,0.0159,2.5217572474645067e-09
160,0.016,2.6329649571721347e-09
161,0.0161,2.748324900991861e-09
162,0.0162,2.8679641994600047e-09
163,0.016300000000000002,2.992013858893472e-09
164,0.0164,3.120605995832193e-09
165,0.0165,3.2538782779312214e-09
166,0.0166,3.3919694830686353e-09
167,0.0167,3.5350228300146114e-09
168,0.016800000000000002,3.6831843130968878e-09
169,0.016900000000000002,3.836604367535301e-09
170,0.017,3.995435093884225e-09
171,0.0171,4.159833033590132e-09
172,0.0172,4.3299586138800805e-09
173,0.0173,4.505975592650202e-09
174,0.017400000000000002,4.688051058465703e-09
175,0.0175,4.876355430560864e-09
176,0.0176,5.071064124173574e-09
177,0.0177,5.2723553300992876e-09
178,0.0178,5.4804122351370665e-09
179,0.0179,5.695420246532024e-09
180,0.018000000000000002,5.917569767532882e-09
181,0.0181,6.147056197391976e-09
182,0.0182,6.3840777109192e-09
183,0.0183,6.62883692381655e-09
184,0.0184,6.8815408926781174e-09
185,0.018500000000000003,7.1424011149900934e-09
186,0.018600000000000002,0.0
187,0.0187,0.0
188,0.0188,0.0
189,0.0189,0.0
190,0.019,0.0
191,0.019100000000000002,0.0
192,0.019200000000000002,0.0
193,0.0193,0.0
194,0.0194,0.0
195,0.0195,0.0
196,0.0196,0.0
197,0.019700000000000002,0.0
198,0.0198,0.0
199,0.0199,0.0
200,0.02,0.0
201,0.0201,0.0
202,0.020200000000000003,0.0
203,0.020300000000000002,0.0
204,0.0204,0.0
205,0.0205,0.0
206,0.0206,0.0
207,0.0207,0.0
208,0.020800000000000003,0.0
209,0.020900000000000002,0.0
210,0.021,0.0
211,0.0211,0.0
212,0.0212,0.0
213,0.0213,0.0
214,0.021400000000000002,0.0
215,0.021500000000000002,0.0
216,0.0216,0.0
217,0.0217,0.0
218,0.0218,0.0
219,0.0219,0.0
220,0.022000000000000002,0.0
221,0.0221,0.0
222,0.0222,0.0
223,0.0223,0.0
224,0.0224,0.0
225,0.022500000000000003,0.0
226,0.022600000000000002,0.0
227,0.0227,0.0
228,0.0228,5.551115123125783e-16
229,0.0229,5.551115123125783e-16
230,0.023,5.551115123125783e-16
231,0.023100000000000002,5.551115123125783e-16
232,0.023200000000000002,5.551115123125783e-16
233,0.0233,5.551115123125783e-16
234,0.0234,5.551115123125783e-16
235,0.0235,5.551115123125783e-16
236,0.0236,5.551115123125783e-16
237,0.023700000000000002,5.551115123125783e-16
238,0.0238,5.551115123125783e-16
239,0.0239,5.551115123125783e-16
240,0.024,5.551115123125783e-16
241,0.0241,5.551115123125783e-16
242,0.024200000000000003,5.551115123125783e-16
243,0.024300000000000002,5.551115123125783e-16
244,0.0244,5.551115123125783e-16
245,0.0245,5.551115123125783e-16
246,0.0246,1.1102230246251565e-15
247,0.0247,1.1102230246251565e-15
248,0.024800000000000003,1.1102230246251565e-15
249,0.024900000000000002,1.1102230246251565e-15
250,0.025,1.1102230246251565e-15
251,0.0251,1.1102230246251565e-15
252,0.0252,1.1102230246251565e-15
253,0.0253,1.1102230246251565e-15
254,0.025400000000000002,1.6653345369377348e-15
255,0.025500000000000002,1.6653345369377348e-15
256,0.0256,1.6653345369377348e-15
257,0.0257,1.6653345369377348e-15
258,0.0258,1.6653345369377348e-15
259,0.025900000000000003,1.6653345369377348e-15
260,0.026000000000000002,2.220446049250313e-15
261,0.0261,2.220446049250313e-15
262,0.0262,2.220446049250313e-15
263,0.0263,2.220446049250313e-15
264,0.0264,2.220446049250313e-15
265,0.026500000000000003,2.7755575615628914e-15
266,0.026600000000000002,2.7755575615628914e-15
267,0.0267,2.7755575615628914e-15
268,0.0268,3.3306690738754696e-15
269,0.0269,3.3306690738754696e-15
270,0.027,3.3306690738754696e-15
271,0.027100000000000003,3.885780586188048e-15
272,0.027200000000000002,3.885780586188048e-15
273,0.0273,3.885780586188048e-15
274,0.0274,4.440892098500626e-15
275,0.0275,4.440892098500626e-15
276,0.027600000000000003,4.9960036108132044e-15
277,0.027700000000000002,4.9960036108132044e-15
278,0.027800000000000002,4.9960036108132044e-15
279,0.0279,5.551115123125783e-15
280,0.028,6.106226635438361e-15
281,0.0281,6.106226635438361e-15
282,0.028200000000000003,6.661338147750939e-15
283,0.028300000000000002,6.661338147750939e-15
284,0.0284,7.216449660063518e-15
285,0.0285,7.771561172376096e-15
286,0.0286,7.771561172376096e-15
287,0.0287,8.326672684688674e-15
288,0.028800000000000003,8.881784197001252e-15
289,0.028900000000000002,9.43689570931383e-15
290,0.029,9.992007221626409e-15
291,0.0291,9.992007221626409e-15
292,0.0292,1.0547118733938987e-14
293,0.029300000000000003,1.1102230246251565e-14
294,0.029400000000000003,1.1657341758564144e-14
295,0.029500000000000002,1.27675647831893e-14
296,0.0296,1.3322676295501878e-14
297,0.0297,1.3877787807814457e-14
298,0.0298,1.4432899320127035e-14
299,0.029900000000000003,1.4988010832439613e-14
300,0.030000000000000002,1.609823385706477e-14
301,0.030100000000000002,1.6653345369377348e-14
302,0.0302,1.7763568394002505e-14
303,0.0303,1.8318679906315083e-14
304,0.0304,1.942890293094024e-14
305,0.030500000000000003,2.0539125955565396e-14
306,0.030600000000000002,2.1094237467877974e-14
307,0.0307,2.220446049250313e-14
308,0.0308,2.3314683517128287e-14
309,0.0309,2.4424906541753444e-14
310,0.031,2.55351295663786e-14
311,0.031100000000000003,2.6645352591003757e-14
312,0.031200000000000002,2.8310687127941492e-14
313,0.0313,2.942091015256665e-14
314,0.031400000000000004,3.108624468950438e-14
